Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Boubacar Kamara,Aston Villa,25.0,"DM, M (C)",78.9,82.6,46.3
Jacob Ramsey,Aston Villa,23.0,M (L),78.8,85.9,45.8
Anthony Elanga,Nottingham,23.0,M (R),75.0,82.6,45.5
Pau Torres,Aston Villa,28.0,D (C),75.6,77.2,45.3
Justin Kluivert,B'mouth,26.0,"M (C), AM (R)",79.3,81.7,44.8
Joshua Zirkzee,Man Utd,23.0,F (C),73.5,80.1,43.7
Noussair Mazraoui,Man Utd,27.0,"D (RL), M (R)",76.6,77.4,43.0
Manuel Akanji,Man City,29.0,D (C),79.9,82.7,42.8
Ezri Konsa,Aston Villa,27.0,D (CR),75.9,76.1,42.7
Yankuba Minteh,Brighton,20.0,"F, M (R)",74.0,85.6,42.6
Jan Paul van Hecke,Brighton,24.0,D (C),72.3,78.6,42.4
Matheus Nunes,Man City,26.0,"M (CL), D (R)",71.6,72.7,42.3
Guglielmo Vicario,Tottenham,28.0,GK,72.3,72.3,41.6
Youri Tielemans,Aston Villa,28.0,"M, DM (C)",79.1,79.9,41.5
Harvey Barnes,Newcastle Utd.,27.0,"F, AM (L)",78.2,78.6,41.5
Georginio Rutter,Brighton,23.0,"F, M (C)",72.1,79.0,41.3
Emile Smith Rowe,Fulham,24.0,"AM (C), M (CL)",75.7,80.3,40.8
Ian Maatsen,Aston Villa,23.0,D (L),76.1,84.5,40.6
Bilal El Khannouss,Leicester,20.0,"AM, M (C)",64.6,79.6,40.6
Mikel Merino,Arsenal,28.0,"M, F (C)",74.6,74.6,40.5
Marc Cucurella,Chelsea,26.0,D (L),75.7,78.7,39.4
Leon Bailey,Aston Villa,27.0,"M, AM (R)",76.2,77.5,39.2
Mohamed Salah,Liverpool,32.0,"F (CR), M (R)",86.6,86.6,38.5
Nikola Milenković,Nottingham,27.0,D (C),78.2,80.3,38.0
Jadon Sancho,Chelsea,25.0,"M (RL), AM (L)",78.9,85.6,37.7
Diogo Dalot,Man Utd,26.0,"D (R), M (RL)",73.1,77.0,37.4
Pervis Estupiñán,Brighton,27.0,D (L),74.0,76.2,37.1
Liam Delap,Ipswich Town,22.0,"F (C), AM (R)",65.8,75.1,37.0
Max Kilman,West Ham United,27.0,D (C),72.3,72.3,36.7
Edson Álvarez,West Ham United,27.0,"DM, M, D (C)",70.8,71.7,36.5
Jean-Clair Todibo,West Ham United,25.0,D (C),73.4,77.6,36.0
Joe Willock,Newcastle Utd.,25.0,M (C),73.3,77.4,35.8
Myles Lewis-Skelly,Arsenal,18.0,"D (L), M (C)",59.7,79.0,34.9
Lewis Hall,Newcastle Utd.,20.0,D (L),72.1,88.0,34.5
André Onana,Man Utd,29.0,GK,73.5,76.9,34.2
Vitaliy Mykolenko,Everton,25.0,D (L),75.7,77.8,33.5
Nathan Collins,Brentford,24.0,D (C),74.2,80.2,33.3
Matty Cash,Aston Villa,27.0,D (R),74.9,74.9,32.9
Malo Gusto,Chelsea,21.0,D (R),75.6,88.2,32.8
Tyler Dibling,Southampton,19.0,"AM, M (R)",53.3,81.5,32.7
Lucas Bergvall,Tottenham,19.0,M (C),67.0,83.0,32.6
Jarrad Branthwaite,Everton,22.0,D (C),77.2,85.6,32.2
Leandro Trossard,Arsenal,30.0,F (CL),79.5,79.5,31.8
Jean-Philippe Mateta,C. Palace,27.0,F (C),74.8,74.8,31.7
Rodrigo Bentancur,Tottenham,27.0,"DM, M (C)",74.3,75.0,31.5
Joachim Andersen,Fulham,28.0,D (C),78.6,78.6,31.4
Yoane Wissa,Brentford,28.0,F (C),76.7,76.7,31.4
Daniel Muñoz,C. Palace,28.0,"D, M (R)",77.5,77.5,30.9
Jørgen Strand Larsen,Wolverhampton,25.0,F (C),72.5,76.7,30.8
Facundo Buonanotte,Leicester,20.0,"AM (C), M (CR)",66.8,84.2,30.7
Bart Verbruggen,Brighton,22.0,GK,72.3,84.4,30.7
Wesley Fofana,Chelsea,24.0,D (CR),72.6,77.7,30.3
Alex Iwobi,Fulham,29.0,"F (L), M (RL)",76.3,76.3,30.3
Callum Hudson-Odoi,Nottingham,24.0,M (L),81.4,86.4,30.2
Calvin Bassey,Fulham,25.0,D (CL),73.3,79.3,29.9
Taylor Harwood-Bellis,Southampton,23.0,D (CR),66.9,79.9,29.9
André,Wolverhampton,23.0,"DM, M (C)",71.5,79.3,29.8
Yves Bissouma,Tottenham,28.0,"DM, M (C)",71.4,71.7,29.8
Kevin Schade,Brentford,23.0,"F (CL), M (L)",71.1,76.5,29.7
David Raya,Arsenal,29.0,GK,86.5,86.5,28.9
